nm,Neo80
546.4,466
546.8,474
547.2,447
547.6,474
548,431
548.4,462
548.8,422
549.2,408
549.6,424
550,4.08E+02
550.4,366
550.8,373
551.2,392
551.6,339
552,359
552.4,402
552.8,383
553.2,373
553.6,355
554,333
554.4,338
554.8,320
555.2,324
555.6,307
556,300
556.4,313
556.8,276
557.2,306
557.6,306
558,283
558.4,276
558.8,253
559.2,261
559.6,272
560,263
560.4,225
560.8,236
561.2,231
561.6,231
562,231
562.4,205
562.8,183
563.2,191
563.6,203
564,216
564.4,200
564.8,169
565.2,172
565.6,176
566,144
566.4,135
566.8,159
567.2,152
567.6,119
568,133
568.4,127
568.8,134
569.2,99
569.6,136
570,121
570.4,125
570.8,106
571.2,132
571.6,106
572,77
572.4,113
572.8,113
573.2,104
573.6,103
574,100
574.4,80
574.8,85
575.2,82
575.6,93
576,89
576.4,107
576.8,74
577.2,88
577.6,106
578,99
578.4,84
578.8,59
579.2,47
579.6,86
580,30
580.4,7
580.8,41
581.2,34
581.6,13
582,19
582.4,40
582.8,27
583.2,13
583.6,24
584,17
584.4,-2
584.8,24
585.2,8
585.6,9
586,-14
586.4,2
586.8,5
587.2,-21
587.6,-24
588,-21
588.4,-6
588.8,6
589.2,-35
589.6,-10
590,-5
590.4,8
590.8,15
591.2,20
591.6,1
592,-18
592.4,6
592.8,-6
593.2,27
593.6,24
594,31
594.4,11
594.8,19
595.2,24
595.6,-1
596,18
596.4,9
596.8,22
597.2,-8
597.6,18
598,2
598.4,23
598.8,22
599.2,-21
599.6,7
600,0
600.4,0
600.8,0
601.2,0
601.6,0
602,0
602.4,0
602.8,0
603.2,0
603.6,0
604,0
604.4,0
604.8,0
605.2,0
605.6,0
606,0
606.4,0
606.8,0
607.2,0
607.6,0
608,0
608.4,0
608.8,0
609.2,0
609.6,0
610,0
610.4,0
610.8,0
611.2,0
611.6,0
612,0
612.4,0
612.8,0
613.2,0
613.6,0
614,0
614.4,0
614.8,0
615.2,0
615.6,0
616,0
616.4,0
616.8,0
617.2,0
617.6,0
618,0
618.4,0
618.8,0
619.2,0
619.6,0
620,0
620.4,0
620.8,0
621.2,0
621.6,0
622,0
622.4,0
622.8,0
623.2,0
623.6,0
624,0
624.4,0
624.8,0
625.2,0
625.6,0
626,0
626.4,0
626.8,0
627.2,0
627.6,0
628,0
628.4,0
628.8,0
629.2,0
629.6,0
630,0
630.4,0
630.8,0
631.2,0
631.6,0
632,0
632.4,0
632.8,0
633.2,0
633.6,0
634,0
634.4,0
634.8,0
635.2,0
635.6,0
636,0
636.4,0
636.8,0
637.2,0
637.6,0
638,0
638.4,0
638.8,0
639.2,0
639.6,0
640,0
640.4,0
640.8,0
641.2,0
641.6,0
642,0
642.4,0
642.8,0
643.2,0
643.6,0
644,0
644.4,0
644.8,0
645.2,0
645.6,0
646,0
646.4,0
646.8,0
647.2,0
647.6,0
648,0
648.4,0
648.8,0
649.2,0
649.6,0
650,0
650.4,0
650.8,0
651.2,0
651.6,0
652,0
652.4,0
652.8,0
653.2,0
653.6,0
654,0
654.4,0
654.8,0
655.2,0
655.6,0
656,0
656.4,0
656.8,0
657.2,0
657.6,0
658,0
658.4,0
658.8,0
659.2,0
659.6,0
660,0
660.4,0
660.8,0
661.2,0
661.6,0
662,0
662.4,0
662.8,0
663.2,0
663.6,0
664,0
664.4,0
664.8,0
665.2,0
665.6,0
666,0
666.4,0
666.8,0
667.2,0
667.6,0
668,0
668.4,0
668.8,0
669.2,0
669.6,0
670,0
670.4,0
670.8,0
671.2,0
671.6,0
672,0
672.4,0
672.8,0
673.2,0
673.6,0
674,0
674.4,0
674.8,0
675.2,0
675.6,0
676,0
676.4,0
676.8,0
677.2,0
677.6,0
678,0
678.4,0
678.8,0
679.2,0
679.6,0
680,0
680.4,0
680.8,0
681.2,0
681.6,0
682,0
682.4,0
682.8,0
683.2,0
683.6,0
684,0
684.4,0
684.8,0
685.2,0
685.6,0
686,0
686.4,0
686.8,0
687.2,0
687.6,0
688,0
688.4,0
688.8,0
689.2,0
689.6,0
690,0
690.4,0
690.8,0
691.2,0
691.6,0
692,0
692.4,0
692.8,0
693.2,0
693.6,0
694,0
694.4,0
694.8,0
695.2,0
695.6,0
696,0
696.4,0
696.8,0
697.2,0
697.6,0
698,0
698.4,0
698.8,0
699.2,0
699.6,0
700,0
700.4,0
700.8,0
701.2,0
701.6,0
702,0
702.4,0
702.8,0
703.2,0
703.6,0
704,0
704.4,0
704.8,0
705.2,0
705.6,0
706,0
706.4,0
706.8,0
707.2,0
707.6,0
708,0
708.4,0
708.8,0
709.2,0
709.6,0
710,0
710.4,0
710.8,0
711.2,0
711.6,0
712,0
712.4,0
712.8,0
713.2,0
713.6,0
714,0
714.4,0
714.8,0
715.2,0
715.6,0
716,0
716.4,0
716.8,0
717.2,0
717.6,0
718,0
718.4,0
718.8,0
719.2,0
719.6,0
720,0
720.4,0
720.8,0
721.2,0
721.6,0
722,0
722.4,0
722.8,0
723.2,0
723.6,0
724,0
724.4,0
724.8,0
725.2,0
725.6,0
726,0
726.4,0
726.8,0
727.2,0
727.6,0
728,0
728.4,0
728.8,0
729.2,0
729.6,0
730,0
730.4,0
730.8,0
731.2,0
731.6,0
732,0
732.4,0
732.8,0
733.2,0
733.6,0
734,0
734.4,0
734.8,0
735.2,0
735.6,0
736,0
736.4,0
736.8,0
737.2,0
737.6,0
738,0
738.4,0
738.8,0
739.2,0
739.6,0
740,0
740.4,0
740.8,0
741.2,0
741.6,0
742,0
742.4,0
742.8,0
743.2,0
743.6,0
744,0
744.4,0
744.8,0
745.2,0
745.6,0
746,0
746.4,0
746.8,0
747.2,0
747.6,0
748,0
748.4,0
748.8,0
749.2,0
749.6,0
750,0
